Actor,AVG
Richard Brooker,36200000
Blair Brown,36279230
Diedrich Bader,36677434.5
Steven Anthony Lawrence,36830057
Louis Lombardi,36861548.67
Peter Firth,36874745
Jon Heder,36878792
Delroy Lindo,36976468.25
Lisa Edelstein,37036404
Bianca Kajlich,37053924
Natasha Henstridge,37074876
Martin Landau,37080154
George Kennedy,37144167
Noel Gugliemi,37176306.5
Britney Spears,37188667
Bobby Lee,37371385
Faizon Love,37432264.5
Tiago Riani,37432299
Amber Valletta,37486138
Estella Warren,37489436
Ivana Baquero,37623143
Richard Lawson,37672350
Miko Hughes,37779680
Danneel Ackles,37784304
Haley Joel Osment,37851619.6
Alison Brie,37878342.67
Shô Kosugi,38105077
Joan Rivers,38119483
Stockard Channing,38330506
Talulah Riley,38372662
Rob Riggle,38429667.67
James Martin Kelly,38509342
James Wilcox,38543473
Robert Forster,38580989.67
Alicia Witt,38628808.2
Joe Lo Truglio,38792994.67
Teo Halm,38916903
Vanessa Williams,38993375.4
Lois Smith,39025000
Ashley Williams,39026186
Rae'Ven Kelly,39100956
Bai Ling,39251128
Vinessa Shaw,39514713
Frances Bavier,39552600
Danny Huston,39568996
Bojana Novakovic,39643830.67
Salma Hayek,39707055.88
Mekhi Phifer,39812402.4
Tom Wilkinson,39970410.15
Raymond Cruz,40048332
Jennifer Freeman,40066497
Daryl Sabara,40122674.5
Billy Burke,40135509
Julie Christie,40183690
Sophia Myles,40190293
Jim Meskimen,40218903
Jessica Barden,40247512
Kelli Garner,40418472.33
Sharon Small,40566655
James Coburn,40582782.5
David Carradine,40678594.33
Tina Fey,40826408.6
Jeffrey Combs,40846082
Caleb Landry Jones,40990055
Don Cheadle,41019824.2
Lauren German,41227069
Armin Mueller-Stahl,41256277
Ken Howard,41714544
Anthony Hopkins,41718240.35
Sam Trammell,41797066
Joseph Gordon-Levitt,42249832.44
Shelley Duvall,42365600
Alyson Stoner,42385520
Djimon Hounsou,42567748.5
Colin Ferguson,42640890
Mehcad Brooks,42643187
Paige Turco,42660000
Clayton Snyder,42672630
Jet Li,42740113.78
Miranda Cosgrove,42793069.5
Ethan Embry,42835986.5
Colin Firth,43091582.33
Rami Malek,43568507
Raoul Bova,43601508
Rita Moreno,43650000
Olivia Munn,43665946.67
Hal Holbrook,43848100
Heath Ledger,43867090.2
Loretta Devine,43895625
Kate Upton,44328238
Chazz Palminteri,44362183
Mia Sara,44450000
Jason Statham,44456077.8
Eugenio Derbez,44456509
Morgan Saylor,44469602
Jeff Bridges,44574372.06
Jeanne Tripplehorn,44664685.67
Bérénice Bejo,44667095
Alex Pettyfer,44725065.4
Jack Palance,44726644
Bernie Mac,44787177.55
John Saxon,44793200
John Michael Higgins,44832003.67
Tim Blake Nelson,44917890.25
John Witherspoon,45040073.75
Noah Huntley,45063889
Jim Broadbent,45086899.13
Frank Welker,45260640.33
Lisa Ann Walter,45370761
Josh Charles,45387572
Bruce McGill,45469469.33
Julie Walters,45483317
Lorraine Bracco,45500797
Matthew McConaughey,45767268.65
Craig Parker,45802315
Barry Watson,46363118
Jimmy Bennett,46390530.5
Sarah Carter,46455802
Dan Byrd,46604362
Don Johnson,46697340
Lena Olin,46734922.5
Caroline Munro,46800000
Edgar Arreola,46875468
Mary Lynn Rajskub,46908082
Tate Donovan,46975183
Johnny Cannizzaro,47034272
Costas Mandylor,47296160
Vin Diesel,47352922.55
Ayelet Zurer,47379090
Gary Oldman,47617790.08
Miguel Ferrer,47642136.67
Gena Rowlands,47806295
Frankie Muniz,47811275
Nicolas Cage,47828092.77
Kristen Stewart,47997353.21
Elizabeth McGovern,48043505
Danielle Kotch,48056940
Dania Ramirez,48114556
Anne Hathaway,48151121.82
Roger Rees,48573785.33
Anjelica Huston,48579960.17
Janeane Garofalo,49001206.2
Keanu Reeves,49121774.75
Tuesday Knight,49369900
Jeremy Renner,49417380.44
Virginia Madsen,49451151.5
Erika Christensen,49525731.67
Ioan Gruffudd,49663776.25
Chris Evans,49807252.78
Lilli Lavine,49968653
Andrea Corr,49994804
Topol,50000000
Robert De Niro,50017741.86
Kathleen Quinlan,50129186
Mike Vogel,50209255
Michael Emerson,50254894.5
Dolly Parton,50310083.5
Chloë Grace Moretz,50460135.42
Bailee Madison,50653708
Busy Philipps,50676078.25
Lane Smith,50752337
Ryan O'Neal,50800000
Isaac Hempstead Wright,50807639
Rudy Youngblood,50859889
Bill Duke,50887220.5
F. Murray Abraham,50892508.5
Jake Gyllenhaal,50960167.92
Al Pacino,51020375.57
Oliver Platt,51028993.3
Honor Blackman,51100000
Bokeem Woodbine,51179081
Joe Don Baker,51185897
Katharine Ross,51190402
Robert Duvall,51207741.67
Brenda Song,51432423
Lin Shaye,51436034.67
Catherine O'Hara,51449540.5
Jensen Ackles,51527787
Eric Mendenhall,51697449
David Arquette,51732970.5
Quvenzhané Wallis,51787843
Deborah Kara Unger,52065648
Philip Seymour Hoffman,52126886.8
Marshall Bell,52287414
Mark Rylance,52792307
Ed Begley Jr.,52854309.2
Judy Greer,52877329.75
Adam Goldberg,53195497
Fernanda Andrade,53245055
Alfre Woodard,53283041.13
Greg Grunberg,53759120.5
Matt Shively,53884821
Anna Kendrick,53884825
Chris Brown,53930593.67
Chelan Simmons,54098051
Craig Stark,54116191
Manish Dayal,54235441
Lou Taylor Pucci,54239856
Óscar Jaenada,54257433
Bill Murray,54274290.23
Josh Hutcherson,54288495
Joe Mantegna,54602878.83
Jake Busey,54700065
Dax Flame,54724272
Robin Wright,55103356
Charles S. Dutton,55473600
Bernie Casey,55500000
Sarah Michelle Gellar,55620744.75
Holly Hunter,55762203.86
Taran Killam,56127162
Sam Claflin,56154094
Roger Allam,56437947
Richard Tyson,56464686.5
Mark Addy,56468652.67
Michael Rapaport,56532991
Corinna Harney,56607223
Chris Noth,56640184
Will Ferrell,56649231.7
Desmond Llewelyn,56700000
Keir Dullea,56715371
Kurt Fuller,56816662
Xander Berkeley,56932305
Kevin Spacey,57062013.05
Imelda Staunton,57118461
Marlon Brando,57160666.67
John Cothran,57504069
Naomi Watts,57599960.88
Romany Malco,57685680.5
Nia Long,57703603.67
Kelly Preston,57847959
Robert Pine,57859105
Cassie Ventura,58006147
Antony Starr,58156435
Clint Eastwood,58249368.31
Bella Thorne,58283414.75
Alice Krige,58800000
James Babson,59035104
Jennifer Garner,59332784.89
Sayed Badreya,59617068
Roma Downey,59696176
Shane Black,59735548
Jennifer Ehle,59852577.8
Meryl Streep,59919727.45
Chris Elliott,60008303
Jamie Lee Curtis,60399770.45
Blythe Danner,60443237
Fann Wong,60470220
Quincy Jones,60507228
Taylor Lautner,60873536.5
Pink,60923325
Eric Dane,61067056.67
Alun Armstrong,61355436
Patrick Fugit,61497253
Jerry Stiller,61589917
Larry Miller,61711724.5
Matt Damon,61972633.4
Liam Neeson,62225265.67
Julian Glover,62300000
Theo James,62321039
Peter Dinklage,62482333.75
Emmanuelle Vaugier,62482437.5
Amber Stevens West,62494975
Bill Cobbs,62640701.6
Jerry Ferrara,62734058
Gerard Butler,62900260
Denzel Washington,63225412.7
Arliss Howard,63411478
Eddie Cahill,64371181
Rhys Wakefield,64423650
Shawna Waldron,65000000
Ocean James,65069140
Jon Favreau,65635701.67
Ming-Na Wen,65953361
Brad Pitt,66321448.71
Cory Hardrict,66359959
Krista Allen,66466372
Mila Kunis,66581267.67
Sydney Pollack,66790248
Jamie Renée Smith,67155742
Charlyne Yi,67523385
James D'Arcy,67870624.5
Louis Jourdan,67900000
Sylvester Stallone,68243377.67
Kelly Macdonald,68252034.4
Nicholas Lea,68473360
Mackenzie Foy,68729357
Christian Bale,68754341.39
Gary Cole,68774393.29
Doug E. Doug,68856263
Bruce Willis,69342847.24
Natascha McElhone,69405691.5
Jonathan Winters,69622721
Paul Walker,69760380.88
Ellen Burstyn,69912586
Alex Veadov,70011073
Ty Burrell,70042929
Alyson Hannigan,70306881.14
Sally Kirkland,70405498
Channing Tatum,70759404.68
Jason Alexander,70836296
Jacob Tremblay,71017784
D.B. Woodside,71038190
David Lyons,71346930
Shailene Woodley,71448589
Scott Glenn,71637385.33
Misha Gabriel Hamilton,71844424
Drew Powell,71975611
Jeremy Brett,72000000
Elizabeth Daily,72130957
Sean Young,72217000
Tom Hardy,72449992.6
Wes Studi,72455275
Curtiss Cook,72515360
Rob Paulsen,72601713
Muse Watson,72613394.4
Usher Raymond,73000942
Oprah Winfrey,73797669.33
Colm Feore,73973564.33
Benedict Cumberbatch,74177861
Lauren Holly,74294428
Lupe Ontiveros,74344037
Dwayne Johnson,74357048.26
Sarah Silverman,74600170.67
Ryan Reynolds,74646758
George Carlin,74787599
Sanaa Lathan,75141080.5
Craig Roberts,75261603.5
Jennifer Saunders,75280058
Mhairi Calvey,75600000
Todd Stashwick,75604320
Seth MacFarlane,75754670
Marsha Thomason,75817994
Rory Culkin,76206386.33
Goran Visnjic,76258307.67
Leopold Stokowski,76400000
Heather O'Rourke,76600000
Dean Stockwell,77009389.5
Scarlett Johansson,77364830.36
Jack McBrayer,77665012
Angelina Jolie Pitt,77911088.53
Jon Hamm,78017669
Julia Roberts,78263955.25
Will Forte,78341237
Kevin Nash,78656813
Eileen Brennan,78835557.5
LeVar Burton,79262488.67
Peter Greene,79390334.33
Emily Osment,79566871
Odeya Rush,80021740
Sarah Roemer,80050171
Ana de la Reguera,80197993
Leonard Nimoy,80207030.86
Alice Greczyn,80270227
Treat Williams,80276912
Steve Coogan,80592035.6
Morgan Freeman,80932478.82
Dylan Walsh,81022333
Adam Sandler,81219253.07
Steve Buscemi,81478580.88
Hugh Jackman,81586362.29
Stephen Amell,81638674
Katharine Isabelle,82163317
Bingbing Li,82300692.33
Sean Patrick Thomas,83056613
Peter Graves,83400000
Margot Kidder,84100000
Darcy Donavan,84136909
Mel Blanc,84300000
Martin Short,84429182.33
Cary-Hiroyuki Tagawa,84716831.2
Bam Margera,84749228.33
Sprague Grayden,84749884
Justin Timberlake,85039250.57
Robin Williams,85081223.22
Javier Botet,86949197.5
Alan Rickman,87426950.5
Will Patton,87704396
Snoop Dogg,88200225
Emma Stone,88554492.25
Kelly Rutherford,89138076
Demi Moore,89284882.83
Eartha Kitt,89296573
Tia Carrere,89335214.67
John Doman,90135191
Jada Pinkett Smith,90191809.14
Don Ameche,90400000
Vanessa Ferlito,90485233
Lucas Grabeel,90556401
Beau Mirchoff,90703745
Michael Jeter,90750045.5
Martin Kove,90800000
Jacob Vargas,91443253
Ki Hong Lee,92050596.5
Bradley Whitford,92115211
J.K. Simmons,92142165.9
Matthew Broderick,92408903.2
Bruno Kirby,92823600
Tom Selleck,92869338
Johnny Depp,92990459.98
Dorian Missick,93307796
Nick Stahl,93367977.5
Carol Ann Susi,93375151
Clea DuVall,93747705
Carmen Perez,93952276
Madeline Kahn,94152333.33
Macaulay Culkin,94394189.5
Essie Davis,94405710.5
Robert Downey Jr.,94499617.73
Michael Nouri,94900000
Fionnula Flanagan,96471845
John Belushi,97900000
Clint Howard,99210225
Sean Hayes,100446895
Paul Hogan,101329641.7
Jackson Nicoll,101978840
Ed Wynn,102300000
Daniel von Bargen,102678089
Sam Edwards,102797150
Natalie Portman,102842486
Nia Vardalos,103224276.7
Charlie Korsmo,103738726
Johanna Braddy,104007828
Fred Gwynne,104787430.5
Art Hindle,105500000
Albert Brooks,106316185
Bruce Spence,106371812
Toby Stephens,106511762
Izabella Scorupco,106635996
Candice Bergen,106807667
Matt Frewer,107503316
Micah Sloat,107917283
Lea Thompson,108268041.3
Daniel Radcliffe,108745230.6
Regina Hall,110000082
Amy Schumer,110008260
Maura Tierney,110180718.5
Scatman Crothers,112000000
Christoph Waltz,112287502.2
Christopher Lee,112572635.4
Raven-Symoné,112950721
Finn Wittrock,115603980
Sharlto Copley,115646235
Joe Morton,117453577.5
Jesse McCartney,117719632.5
Osama bin Laden,119078393
Ronny Cox,119412921
Sandra Ellis Lafferty,119518352
Noel Fisher,120646822.5
Henry Cavill,120932971.3
Ariana Richards,122222048.5
A.J. Buckley,123070338
Steve Carell,123441794.4
Damon Wayans Jr.,124051751.5
Michael O'Neill,124107476
Tom Cruise,124484250
Suraj Sharma,124976634
Vincent Schiavelli,125332007
Brad Garrett,125684908.5
Leonardo DiCaprio,125741989.2
Colin Salmon,126930660
Joel Courtney,126975169
Bradley Cooper,127562714.4
Jeff Bennett,127706877
Chen Chang,128067808
Bob Balaban,128300000
Luenell,128505958
Francesca Capaldi,130174897
Sofia Boutella,130468626
Amy Poehler,131387855.5
Seychelle Gabriel,131564731
Kevin Rankin,132122995
Angus T. Jones,132541238
Jim Parsons,133904864.3
Hayley Atwell,134107554.3
Harrison Ford,135662246.5
Tom Hanks,136023294.8
Lili Taylor,136448821
Tom Welling,138614544
Tzi Ma,140080850
Heather Donahue,140530114
Anil Kapoor,141319195
Mahadeo Shivraj,142614158
Rene Russo,144731527
Will Smith,145400929.8
Eva Green,146794495
Phoebe Cates,148170000
Harold Ramis,148734225
Laura-Leigh,150368971
Zack Ward,159487058
Aldis Hodge,161029270
Bryce Dallas Howard,161747079.6
Tim Conway,162495848
Eleanor Parker,163214286
Jill Hennessy,168213584
Giancarlo Giannini,168368427
Matt Lucas,169076745
Jennifer Lawrence,169132573.1
Judge Reinhold,172939903.7
Michael Gough,176334184.5
Olivia Newton-John,181360000
Roy Scheider,181461188
Chris Hemsworth,181942199.2
Karen Allen,182618434
Mary McDonnell,184208848
Adriana Caselotti,184925485
Denis Leary,195951734
Alexander Gould,196766245.5
Hattie McDaniel,198655278
Orlando Bloom,201928820.5
Peter Capaldi,202351611
Aidan Turner,211907593.5
Verne Troyer,213079163
CCH Pounder,214788173.3
Henry Thomas,217664551
Josh Gad,222701281.5
Mei Melançon,226138454
Robert Pattinson,230187140.9
Tim Holmes,234903076
John Ratzenberger,253613072
Catherine Dyer,255950375
Glenn Morshower,261848909.3
Kathleen Freeman,267652016
Phaldut Sharma,274084951
Steve Bastoni,281492479
Albert Finney,304360277
Wayne Knight,356784000
Rupert Everett,436471036
