Director,Avg,Gross
Tommy Lee Wallace,14400000,14400000
Alejandro Monteverde,7264283,14528566
Jonathan Glazer,4850401,14551203
Clive Barker,14564027,14564027
John Hillcoat,4861440.667,14584322
David Robert Mitchell,14673301,14673301
Lenny Abrahamson,14677654,14677654
Bruce Hunt,14888028,14888028
Sergio Leone,4966666.667,14900000
Mary Harron,15047419,15047419
Alan Cohn,15062898,15062898
Steve Barron,15091542,15091542
Wayne Kramer,7549508.5,15099017
Neal Brennan,15102127,15102127
Joe Chappelle,15126948,15126948
Ed Gass-Donnelly,15152879,15152879
Melvin Van Peebles,15180000,15180000
Danny Pang,15279680,15279680
Rob Schmidt,15417771,15417771
Nick Gomez,15427192,15427192
Josef Rusnak,15500000,15500000
Paul Bolger,15519841,15519841
RZA,15608545,15608545
Trent Cooper,15655665,15655665
Sidney J. Furie,15681020,15681020
Paul Abascal,15712072,15712072
Demian Lichtenstein,15738632,15738632
Atom Egoyan,2626617,15759702
Andrew Erwin,7892777,15785554
Matt Bettinelli-Olpin,15818967,15818967
Britt Allcroft,15911333,15911333
Adam Marcus,15935068,15935068
Brian Koppelman,7996484,15992968
Richard Kelly,5348993,16046979
Karey Kirkpatrick,16088610,16088610
Rob McKittrick,16101109,16101109
Gregory Widen,16115878,16115878
James Bridges,16118077,16118077
Ariel Vromen,8103987,16207974
Michael Cristofer,16252765,16252765
Joshua Michael Stern,16284360,16284360
Willard Huyck,16295774,16295774
Peter Kosminsky,16346122,16346122
Mark Christopher,16574731,16574731
Jonas Elmer,16699684,16699684
Janusz Kaminski,16779636,16779636
Carol Reed,16800000,16800000
Michael O. Sajbel,8406022.5,16812045
Ben Younger,16938179,16938179
Peter Hastings,16988996,16988996
E. Elias Merhige,8495790.5,16991581
John 'Bud' Cardos,17000000,17000000
Don Mancini,17016190,17016190
Kevin Hooks,17100000,17100000
Mike Leigh,3446448.4,17232242
Ellory Elkayem,17266505,17266505
Cheryl Dunye,17321573,17321573
J.C. Chandor,5788705,17366115
Mark L. Lester,8687778.5,17375557
David Nutter,17411331,17411331
Carter Smith,17427926,17427926
Antony Hoffman,17473245,17473245
Vincenzo Natali,8744133,17488266
